school_id,cn_name,en_name,tags,faculty,school,category,entry_month,duration,tuition,interview,objectives,apply_requirements,language_requirements,analysis,curriculum,url,degree
,精算学硕士,Master of Actuarial Science,"商科, 金工金数, 墨尔本商学院",墨尔本商学院,墨尔本大学,金工金数,3月,1.5年,58892澳元/年,无,墨尔本大学精算学硕士项目旨在为非精算学专业的毕业生提供专业的精算学教育。因此，要求申请者具有数学或统计学专业（如数学、物理或工程）的学习背景，以便其能够达到进入精算专业学习的能力，并快速进入角色，以实习精算师的身份投入精算工作中。,"具有已完成的本科或研究生学位或同等学历，主修数学基础学科，例如数学、统计学、物理学、工程学
已完成MAST20004概率论和MAST20005统计学课程或同等水平的概率与统计学课程",雅思: 6.5; 托福: 79,无,金融数学I Mathematics of Finance I; 保险风险模型 Insurance Risk Models; 寿险模型 1 Life Insurance Models I; 管理者宏观经济学 Macroeconomics for Managers; 金融数学II Mathematics of Finance II; 寿险模型 2 Life Insurance Models 2; 财务管理 Financial Management,https://study.unimelb.edu.au/find/courses/graduate/master-of-actuarial-science/,
,体育教练教育学硕士,MEd Sports Coaching,"社科, 体育, 教育与社会工作学院",教育与社会工作学院,悉尼大学,体育,2/8月,1年,51500澳元/年,无,悉尼大学体育教练教育学硕士项目能够让学生运用所学的教练学原理与复杂的专业技术以应对广泛的并且通常难以预料的教练情况。在项目的学习过程中，学生将具备在运动教练学领域运用专业知识进行有效学习的能力，能够检验现有的技术资源以便实施运动员与团队训练的具体策略，同时学生还将学会综合运用训练活动、教练教学法与运动科学来提高运动员成绩。通过悉尼大学体育教练教育学硕士项目的专业学习，毕业生将能够基于微观与宏观层面有效地运用规划原则，并成功地实施、维护，评估与修改规划过程。悉尼大学体育教练教育学硕士项目的毕业生也将能够展现对人才识别、招聘与发展过程的深刻理解能力。项目十分适合精英教练或经验丰富的精英运动员，帮助其变得更有竞争力。同时也很适合想要成为专业教练的经验丰富型精英运动员进行学习深造。,"- 具有悉尼大学颁发的学士学位或同等学历，并完成相关研究生学习或具备至少2年精英水平的教练/体育经验；或
- 获得2级国家教练认证计划认证或同等学历，并完成相关研究生学习或具备至少4年精英水平的教练/体育经验。",雅思: 6.5; 托福: 85,无,"教练学专业知识 Coaching Expertise; 教练规划与项目管理 Planning and Program Management for Coaches; 当代教练学议题 Contemporary Issues in Coaching; 体育科学在教练学中的应用 Applying Sport Science to Coaching; 组织文化与变革 Organisational Culture and Change; 管理与领导力 Management and Leadership; 学习、了解与思考 Learning, Knowing and Thinking",https://www.sydney.edu.au/courses/courses/pc/master-of-education-sports-coaching.html,
,气候变化硕士,Master of Climate Change,"社科, 其他社科, 亚洲及太平洋学院",亚洲及太平洋学院,澳大利亚国立大学,其他社科,1/7月,1.5年,53700澳元/年,无,澳大利亚国立大学气候变化硕士项目在气候变化科学与政策方面拥有全球领先的专业水准，为学生提供广泛而深入的学习训练，涵盖气候变化的脆弱性、适应与缓解相关的政策、经济、法律与治理各领域。该项目的学生能够结合个人兴趣与已有技能，制定个性化的学习计划。其课程覆盖多领域话题，如气候影响、气候的脆弱性与适应性、气候变化经济学与政策、气候研究方法论。同时，该项目也为学生提供广泛的选修课程，供学生根据自己的学习目标进行选择。,"申请者必须满足以下其中一项：
- 具有学士学位或同等学历，GPA达到5/7；或
- 具有学士学位或同等学历，GPA达到4/7，并且在与申请专业相关的领域具备相当于至少3年的ANZSCO技能1级的全职工作经验；或
- 具有学士学位或同等学历，GPA达到4/7，并且具有研究生证书或同等学历，GPA达到4/7；或
- 具有研究生文凭或同等学历，GPA达到4/7；或
- 在研究生课程中修满48个学分，GPA达到4/7；或
- 具有研究生证书或同等学历，GPA达到4/7，并且在与申请专业相关的领域具备相当于至少3年的ANZSCO技能1级的全职工作经验；或
- GRE成绩Verbal Reasoning部分达到155，Quantitative Reasoning部分达到155，Analytical Writing达到4.0，并且在与申请专业相关的领域具备相当于至少3年的ANZSCO技能1级的全职工作经验；或
- 在与申请专业相关的领域具备相当于至少10年的ANZSCO技能1级的全职工作经验。
相关学科包括：应用经济学、气候、发展研究、经济学、经济政策、能源变化、环境科学、环境研究、森林科学与管理、政策研究、资源与环境管理、科学传播、可再生能源、可持续性、可持续性科学、可持续发展",雅思: 6.5; 托福: 80,无,"火灾，洪水和干旱 Fire, Flood and Drought; 气候变化：科学、社会和政策 Climate Change: Science, Society, and Policy; 气候变化：脆弱性与适应 Climate Change Vulnerability and Adaptation; 环境与气候政策沟通 Communicating for Environment and Climate Policy; 国际气候变化政策与经济学 International Climate Change Policy and Economics; 国内气候变化政策与经济学 Domestic Climate Change Policy and Economics; 环境管理研究方法 Research Methods for Environmental Management",https://programsandcourses.anu.edu.au/2025/program/MCLIM,
,传播设计硕士,Master of Communication Design,"社科, 艺术, 设计学院",设计学院,皇家墨尔本理工大学,艺术,2/7月,2年,40800澳元/年,无,"通过传播设计硕士，您将发展传播设计实践的专业知识，并专注于设计创业和战略设计思维。

突破您的创意界限，批判性地思考，找到应对沟通挑战的设计解决方案。
发展专业知识和专业技术和创意技能，为多学科环境中的专业角色做好准备，包括通信设计工作室，数字设计咨询公司，广告代理商，其他组织内和独立实践中的设计团队。您将能够独立工作或团队合作，并且您将能够自信地与其他设计专业人士和客户进行沟通。","申请者必须已：
- 成功完成澳大利亚学士学位（或同等学历）；或
- 具备至少3年平面设计、传播设计和/或视觉传达方面的专业经验。
为了让专业经验得到考虑，申请者必须在申请中附上一份简历和一份详细说明其经验的个人陈述
需要完成Selection task文档",雅思: 6.5; 托福: 79,无,设计研究（传达设计） Design Studies (Communication Design); 实验排版工作坊 Experimental Typography Workshop; 传达设计工作室 Communication Design Studio; 出版物设计排版 Typography for Publication Design; 传播设计创业工作室 Communication Design Entrepreneurship Studio; 沟通管理：理论与实践 Communication Management: Theory and Practice; 设计与数字媒体研究方法 Research Methods for Design and Digital Media,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-communication-design-mc250,
,精算学硕士（强化）,Master of Actuarial Science (Enhanced),"商科, 金工金数, 墨尔本商学院",墨尔本商学院,墨尔本大学,金工金数,3月,2年,59842澳元/年,无,墨尔本大学精算学硕士（强化）项目为学生进入精算师职业提供了一条研究生途径，毕业生将具备精算理论、知识、原则、技术和数据的应用分析能力。他们将成为能够解释、应用和批判性地评估精算模型的使用问题的解决者，特别是在保险和养老金方面。,"具有已完成的本科或研究生学位或同等学历，主修数学基础学科，例如数学、统计学、物理学、工程学
已完成MAST20004概率论和MAST20005统计学课程或同等水平的概率与统计学课程",雅思: 6.5; 托福: 79,无,金融数学 I Mathematics of Finance I; 金融数学 II Mathematics of Finance II; 金融数学 III Mathematics of Finance III; 人寿保险模型 I Life Insurance Models I; 保险实务 Assurance Practices; 保险与金融专题 Topics in Insurance and Finance; 寿险精算 Life Contingencies,https://study.unimelb.edu.au/find/courses/graduate/master-of-actuarial-science-enhanced/,
,分子生物学硕士（2年制）,Master of Molecular Biology (2 Years),"理科, 生物, 理学院",理学院,昆士兰大学,生物,2/7月,2年,50560澳元/年,无,分子生物学主要研究基因的结构和功能以及其所编译的蛋白质，包括基因组排序、DNA重组技术和大分子结构测定。昆士兰大学分子生物学硕士（2年制）项目通过讲座、研习班、拓展项目和定向研究等形式提供了分子生物学领域的先进理论和实践训练。通过学习该项目，学生将学习分子生物学的研究方法论，并有机会进行个人研究。,"- 具有学士学位（或同等学历），不限专业背景，至少修读一门化学或生物课程；或
- 具有研究生证书或研究生文凭（或同等学历），需要分子生物学背景；或
- 在海外合作院校成功完成至少3年的学习并取得受认可的资格，具备升读分子生物学硕士的正式途径。
在先前的学历中GPA达到5.0/7或同等水平",雅思: 6.5; 托福: 87,该项目指导学生在体验电泳，聚合酶链反应，内切酶作图，荧光报告和表达载体等实验室技术的同时建立实用技能，使其对基因的结构和功能以及它们编码的蛋白质有更深入的了解（研究内容涵盖基因组测序、重组DNA技术和大分子结构测定），还提供生物信息学，分子遗传学，生物分子结构和功能以及免疫学方面的培训。通过行业伙伴合作为学生提供以研究为重点的实习或项目。就业服务：毕业生可从事的职业有分析生物化学家、遗传病理学家、免疫学家、环境生物学家、制药科学家、微生物学家、转基因技术专家、病毒学家等招生特点：该项目需要化学或生物背景，可以申请豁免部分课程，GPA：5/7；雅思：6.5（6），托福：87,生物信息学概念 Concepts in Bioinformatics; 分子生物学实验室导论 Introduction to the Molecular Biology Laboratory; 高级分子生物学实验室 Advanced Molecular Biology Laboratory; 高级蛋白质技术 Advanced Protein Technology; 分子遗传学定向研究 Directed Studies in Molecular Genetics; 生物分子结构功能定向研究 Directed Studies in Biomolecular Structure & Function; 分子生物学文献综述A Literature Review in Molecular Biology A,https://study.uq.edu.au/study-options/programs/master-molecular-biology-5600,
,辅导心理学理学硕士,MSc Coaching Psychology,"社科, 心理学, 理学院",理学院,悉尼大学,心理学,2月,1年,58800澳元/年,无,悉尼大学辅导心理学理学硕士项目为学生提供人体机能增强与辅导的应用科学的学习机会，致力于提高人类在工作、人际交往和生活中的表现。悉尼大学辅导心理学理学硕士项目属于应用积极心理学课程项目，综合咨询心理学、临床心理学与组织心理学，旨在为学生在辅导心理学领域的理论学习和方法学习奠定良好的基础。通过对悉尼大学辅导心理学理学硕士项目的学习，学生能掌握基本的应用辅导的技巧。项目的重点是企业与组织中的心理辅导，旨在培养更多技能出众的教练，他们能够在广泛的背景下与各式各样的客户开展心理辅导。悉尼大学辅导心理学理学硕士项目是世界上辅导心理学领域为数不多的硕士项目之一，致力于为学生提供最好的辅导心理学训练。项目的教师均为具有丰富的专业经验、享有盛誉的职业辅导心理学家以及训练管理咨询师。,"- 具有悉尼大学或同等院校颁发的3年制心理学学位（达到平均学分）或相关学科的3年制学位；和
- 具备至少3年相关工作经验；或
- 完成嵌入的该学科研究生文凭。",雅思: 7.5; 托福: 105,无,"辅导心理学理论与方法 Theories and Techniques of Coaching Psychology; 辅导基础 Fundamentals of Coaching; 辅导实践 Coaching Practice; 辅导中的社会认知问题 Socio-cognitive Issues in Coaching; 应用积极心理学 Applied Positive Psychology; 积极组织辅导 Positive Organisational Coaching; 群体、团队与系统 Groups, Teams and Systems",https://www.sydney.edu.au/courses/courses/pc/master-of-science-in-coaching-psychology.html,
,精算学硕士（延伸）,Master of Actuarial Science (Extended),"商科, 金工金数, 墨尔本商学院",墨尔本商学院,墨尔本大学,金工金数,3月,2年,59842澳元/年,无,墨尔本大学精算学硕士（延伸）项目为学生进入精算师职业提供了一条研究生途径，毕业生将具备精算理论、知识、原则、技术和数据的应用分析能力。他们将成为能够解释、应用和批判性地评估精算模型的使用问题的解决者，特别是在保险和养老金方面。,具有已完成的本科或研究生学位或同等学历，主修数学基础学科，例如数学、统计学、物理学、工程学,雅思: 6.5; 托福: 79,无,金融数学 I Mathematics of Finance I; 金融数学 II Mathematics of Finance II; 金融数学 III Mathematics of Finance III; 人寿保险模型 I Life Insurance Models I; 保险实务 Assurance Practices; 概率论 Probability; 统计学 Statistics,https://study.unimelb.edu.au/find/courses/graduate/master-of-actuarial-science-extended/,
,数学科学硕士（高级）,Master of Mathematical Sciences (Advanced),"理科, 数学, 系统与社会学院",系统与社会学院,澳大利亚国立大学,数学,2/7月,2年,53700澳元/年,无,澳大利亚国立大学数学科学硕士（高级）项目旨在强化学生在数学领域的专业知识，为学生未来在数学领域的深入学习奠定良好的基础。此外，该项目也致力于提高学生在跨学科领域的定量分析能力，以适应生物科学和计算机科学领域对高级数学技术的日益增长的要求。,"具有学士学位或同等学历
- GPA不低于5.5/7.0
- 至少有8门相关学科的课程学习背景，并且GPA不低于5.5/7.0
相关学科包括：数学、统计学、数学经济学、数学金融学、精算研究、计算机科学、生物信息学",雅思: 6.5; 托福: 80,无,数学研究课题 Mathematics Research Project; 环境建模与综合评估 Environmental Modelling and Integrated Assessment; 概率论建模与应用 Probability Modelling with Applications; 矩阵计算 Matrix Computations; 数理金融 Mathematical Finance; 分形几何与数字成像应用 Fractal Geometry & Applications to Digital Imaging; 数值优化 Numerical Optimisation,https://programsandcourses.anu.edu.au/2025/program/VMASC,
,设计创新与技术硕士,Master of Design Innovation and Technology,"社科, 艺术, 设计学院",设计学院,皇家墨尔本理工大学,艺术,2/7月,2年,45600澳元/年,无,"通过具有前瞻性思维，基于实践的学术研究人员和专业设计师的国际社区的参与，设计创新与技术硕士，您将加入一个处于不断发展状态的动态学习环境。

由于设计实践的创新位于多个学科的交叉点，您将有机会解决各种专业的问题，例如工程，建筑，景观建筑，室内设计，工业设计，服务设计，平面设计，动画，交互，照明，媒体和声音设计。","申请者必须已：
- 成功完成澳大利亚学士学位（或同等学历）；或
- 在相关领域具备至少3年工作经验或专业实践。
为了让专业经验得到考虑，申请者必须在其申请中附上一份简历和一份详细说明其经验的陈述",雅思: 6.5; 托福: 79,无,研究工作室 Research Studio; 技术工作室 Technology Studio; 创新工作室 Innovation Studio; 设计创新与科技重大项目 Design Innovation and Technology Major Project; 用于设计和原型设计的灵活建模 Flexible modelling for Design and Prototyping; 声景研究 Soundscape Studies; 立体声建模 Ambisonic Modelling,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-design-innovation-and-technology-mc231,
