school_id,cn_name,en_name,tags,faculty,school,category,entry_month,duration,tuition,interview,objectives,apply_requirements,language_requirements,analysis,curriculum,url
,管理科学与工程理学硕士,Master of Science in Management Science and Engineering,"工科, 工程管理",,哥伦比亚大学,工程管理,STEM,秋季,36学分,机面（kira）,无,无,雅思: 100; 托福: 7,"课程相关：哥伦比亚大学Management Science & Engineering 管理科学与工程，简称MS&E，和BA一样，也 “号称”是商学院和工学院合办的项目，但Mainly 还是工学院IEOR系的（商学院的资源其实有限吧）。时长1年半，课程设置里最特色的是：year-long Operations Consulting，非常好的一个real-world practice，写在简历上还是很有用的。课程还提供了6个concentrations，分别是Operations & Analytics, Pricing & Revenue Management, Entrepreneurship & Innovations, and Logistics & Supply Chain Management.（但这并不重要hhhh）根据自己的兴趣选就好，比如工科背景的可以选一些CBS的课，多建立人际网络。                                                                                           就业相关：哥大工学院的就业一般都看自己…虽然被吐槽放养，但就业率还是很可以的（95%+ 总是可以的…毕竟生源质量在。）官方的employment reports跟OR类似，行业去向分布其实也不一样，但3大主要去向就是：Technology, Telecom & Internet，金融，咨询。                                                                                                       录取相关：跟BA相比，历史比BA长，size 比BA小：2019fall入学是96（同年BA是143）。体感这2年在略微的扩…基本在100+左右吧。难度跟热门的BA其实差不多。看自己选择了。",未找到课程设置,https://mse.ieor.columbia.edu/content/management-science-engineering
,工业与系统工程理学硕士 - 分析方向,MS in Industrial & Systems Engineering - Analytics Track,"工科, 工业工程",,明尼苏达大学双城分校,工业工程,STEM,秋季,30学分,无,无,本科具有工程微积分、概率论与统计以及编程专业背景GPA达到3.0及以上,雅思: 79; 托福: 6.5,无,未找到课程设置,https://cse.umn.edu/isye/analytics
,卫生政策与卫生服务研究公共卫生科学硕士,MSPH in Health Policy and Health Services Research,"社科, 公共卫生",,埃默里大学,公共卫生,秋季,2年,"80,000美元",无,无,GPA 达到3.32以上国际生需在5月1号之前提交申请,雅思: 80; 托福: 6,无,未找到课程设置,https://www.sph.emory.edu/departments/hpm/degree-programs/msph/
,机械工程理学硕士,MS in Mechanical Engineering,"工科, 机械工程",,塔夫茨大学,机械工程,STEM,春季/秋季,30学分,无,无,"申请者需要持有相对应的学士学位,GPA达到3.0及以上申请者需提交2分钟的视频展示",雅思: 100; 托福: 无要求,无,未找到课程设置,https://engineering.tufts.edu/me/current/masters/me
,金融硕士,Master in Finance,"商科, 金融",,普林斯顿大学,金融,STEM,秋季,2年,无,无,"希望申请者在中级本科课程水平上熟悉数学,包括线性代数、多元微积分、微分方程以及概率和统计",雅思: 无要求; 托福: 无要求,"常年位列各种排名榜首的项目，虽然项目名字是finance，但实质是个金工项目。

课程设置：课程非常侧重定量，3个Tracks是：Financial Engineering and Risk Management，Quantitative Asset Management and Macroeconomic Forecasting, Data Science & Financial Technologies。

录取方面：2年制，录取率在4%-7%之间，一直都是30人左右的size，非名校+高分者不录。虽然录取的中国学生比较多，但大多是Top美本，只录取个别陆本（基本是清北），且陆本一般都有海外交换经历。比如class of 2022只有3个北大，分别有伯克利/宾大/UCLA交换经历。有面试，DDL每年都是12月31日。",未找到课程设置,https://bcf.princeton.edu/master-in-finance/
,建设管理理学硕士,MS in Construction Administration,"工科, 工程管理",,哥伦比亚大学,工程管理,STEM,秋季/春季,1.5-2年,无,无,"1. 具有批判性思维和分析能力。
2. 虽然至少 2 到 3 年的行业经验是理想的，但鼓励在家族企业工作或实习经验较少的申请人申请。
3. 不需要工程背景。",雅思: 100; 托福: 7,无,未找到课程设置,https://sps.columbia.edu/academics/masters/construction-administration/full-time-master-science
,全球健康理学硕士,MS in Global Health,"社科, 公共卫生",,乔治城大学,公共卫生,秋季,32学分,"59,895美元",无,无,GPA 达到3.0以上,雅思: 100; 托福: 7,无,未找到课程设置,https://globalhealthms.georgetown.edu/
,工业与系统工程理学硕士 - 工业工程方向,MS in Industrial & Systems Engineering - Industrial Engineering Track,"工科, 工业工程",,明尼苏达大学双城分校,工业工程,STEM,秋季/春季,30-32学分,无,无,具有相关领域专业背景GPA达到3.0及以上,雅思: 79; 托福: 6.5,无,未找到课程设置,https://cse.umn.edu/isye/industrial-engineering
,材料科学与工程理学硕士,MS in Materials Science and Engineering,"工科, 材料",,塔夫茨大学,材料,STEM,春季/秋季,1-2年,无,无,"申请者需要持有相对应的学士学位,GPA达到3.0及以上申请者需提交2分钟的视频展示美本学生不需要提供GRE成绩",雅思: 无要求; 托福: 无要求,无,未找到课程设置,https://engineering.tufts.edu/ece/prospective-students/masters/materials-science-and-engineering
,计算机科学硕士,MSE in Computer Science,"工科, 计算机",,普林斯顿大学,计算机,秋季,2年,53890美元/年,无,无,无,雅思: 无要求; 托福: 无要求,"和伯克利的MSCS一样，普林斯顿大学计算机硕士项目Master of Science in Engineering（M.S.E）也是招生非常少的项目，整体为research导向。2年制的项目，第一年后可以选论文或者MEng毕业从而进行分流。

录取方面：因为录取时候都是按research导向录取的，所以非常看重学生的研究背景。对陆本不太友好，除非跟普林斯顿的教授等有联系，可以在推荐之下申请，否则不建议申请。",未找到课程设置,https://www.cs.princeton.edu/grad
,化学工程理学硕士,MS in Chemical Engineering,"工科, 化工",,塔夫茨大学,化工,STEM,春季/秋季,30学分,无,无,"申请者需要持有相对应的学士学位,GPA达到3.0及以上申请者需提交2分钟的视频展示",雅思: 90; 托福: 6.5,无,未找到课程设置,https://engineering.tufts.edu/chbe/prospective-students/masters/ms-chemical-engineering
,运动管理理学硕士,MS in Sports Management,"商科, 管理",,哥伦比亚大学,管理,STEM,秋季/春季,16个月,无,无,无,雅思: 100; 托福: 7,无,未找到课程设置,https://sps.columbia.edu/academics/masters/sports-management/full-time-master-science
,新闻学硕士,Master's in Journalism,"社科, 新闻",,乔治城大学,新闻,春季/夏季/秋季,30学分,"45,810美元",无,无,GPA 达到3.0以上,雅思: 100; 托福: 7,无,未找到课程设置,https://scs.georgetown.edu/programs/259/master-of-professional-studies-in-journalism/
,机械与航空工程工程理学硕士,M.S.E. in Mechanical and Aerospace Engineering,"工科, 机械工程",,普林斯顿大学,机械工程,秋季,2年,58790美元/年,无,无,无,雅思: 无要求; 托福: 无要求,无,未找到课程设置,https://gradschool.princeton.edu/academics/fields-study/mechanical-and-aerospace-engineering
,工业与系统工程理学硕士 - 系统工程方向,MS in Industrial & Systems Engineering - Systems Engineering Track,"工科, 工业工程",,明尼苏达大学双城分校,工业工程,STEM,秋季/春季,30学分,无,无,具有相关领域专业背景非工科出身需要有数学和统计学院系经验GPA达到3.0及以上至少两年相关专业领域工作经验,雅思: 79; 托福: 6.5,无,未找到课程设置,https://cse.umn.edu/isye/systems-engineering
