school_id,cn_name,en_name,tags,introduction,apply_requirements,objectives,language_requirements,curriculum,success_cases,country
澳门科技大学,环境科学与管理硕士,Master of Environmental Science and Management,"工科,环境工程,创新工程学院",专业方向: 环境工程 入学时间: 1/9月 项目时长: 2年 项目学费: 120000港币/年,修读环境科学、环境管理、环境工程、生态学、能源与环境、化学工程、地球科学、海洋科学等相关专业,介绍各种水环境污染问题及水污染控制技术的方法原理，包括物理学、物理化学、化学、微生物学方法和原理。在介绍各种方法原理的基础上，也将阐述这些方法在区域水污染控制和管理中的应用。该课程为环境领域基础课程，对于学生未来环境专业的学习具有非常大的帮助。,,水质控制过程 (Water Quality Control Process) 环境影响评价 (Environmental Impact Assessment) 固体废物管理和资源化 (Solid Waste Management and Reuse) 大气环境学 (Atmospheric Environment) 环境法律 (Environmental Law) 环境与可持续发展 (Environment and Sustainable Development),,澳门
澳门城市大学,国际酒店管理硕士（中文学制）,Master of International Hotel Management (Chinese),"商科,旅游酒店管理,国际旅游与管理学院",专业方向: 旅游酒店管理 入学时间: 9月 项目时长: 2年 项目学费: 100000港币/年,具有学士学位，有酒店管理经验者优先 往届本科毕业生需参加2025年全国硕士研究生招生考试且初试总成绩过国家A类线。 应届本科毕业生不受考研限制。,国际酒店管理硕士学位课程以培养业界需要人才为目标，根据市场需求进行课程设置。该课程是为非研究型研究生及现职酒店管理阶层或以酒店为职业发展之学生而设计，除了课堂教学外，该课程加强了传统的硕士课程所不具备的实践教学环节，比如根据科目实际需要，进行海外实地考察。最后通过完成项目报告及答辩，达到具备酒店运营和管理学等方面的知识和能力，成为能任职于包括政府部门、酒店、博彩业、游轮和非营利机构等的复合型高级人才。,,酒店人力资源管理 (Human Resources Management in Hotel Industry) 酒店策略管理 (Strategic Management in the Hotel Industry) 酒店市场行销 (Managing Marketing in the Hotel Industry) 酒店财务管理 (Hotel Financial Management) 研究方法 (Research Methods) 原创项目报告 (Original Project Report) 养生酒店管理 (Healing Hotel Management) 文化旅游 (Cultural Tourism) 酒店技术和创新 (Hotel Technology and Innovation) 奢侈品牌管理 (The Luxury Brand Management) 酒店顾客关系管理 (Customer Relationship Management in Hotel Industry) 酒店营运决策 (Operations Decision Making in Hotel Industry),,澳门
澳门科技大学,酒店管理硕士,Master of Hotel Management,"商科,旅游酒店管理,酒店与旅游管理学院",专业方向: 旅游酒店管理 入学时间: 1/9月 项目时长: 2年 项目学费: 120000港币/年,修读酒店管理、商学、管理学或相关专业，或具旅游管理、酒店管理及相关行业至少1年以上工作经验,旅游业是一种文化活动，在商业活动上却被视为一个重要元素。此课程提供旅游业上的基础知识：市场学，人力资源管理，财务管理，景点规划，政策，环境和展望等。透过学习使学生了解不同的真实范例，培养学生对旅游业有一个较全面的了解。旨在启发学生对商业环境的全面理解，特别是对科技发展、幻变的社会环境和价值、全球化对经济增长及各国国家经济的相互依赖性及不确定性的分析。运用旅游营销战略管理的概念，来全面分析迅速变化的旅游环境。,,全球酒店业发展趋势 (Global Trends and Issues in Hotel Industry) 酒店业投资运营管理 (Investment and Operation Management in Hotel Industry) 酒店业法律与合规管理 (Law and Compliance Management in Hotel Industry) 酒店业资料分析与处理 (Data Process and Research Method in Hotel Industry) 实习 (Internship),,澳门
澳门大学,数据科学（精准医学）理学硕士,MSc Data Science (Precision Medicine),"理科,数据科学,健康科学学院",专业方向: 数据科学 入学时间: 8月 项目时长: 2年 项目学费: 87000澳门币/年,本科GPA2.8或以上(相当于75-77分)。本科生物医学、医学科学、健康科学、生物医学工程、生物科学、生物信息学、生物统计学、统计学或计算机科学相关专业优先,该计划的特色是多学科课程，该课程汲取了跨学科的见解，使学生能够使用最新的工具和分析方法从现实世界的数据集中提取信息，并以各种方式解释和交流其发现改变人们的思想和行为。数据科学理学硕士课程为期两年，与不同学术单位合作开展。科学与技术学院总共将开设4门基础课程，内容涉及大数据理论，挖掘和分析技术等。要求学生声明自己的专业，这是由不同学术单位提供的，以学习和研究如何处理大数据。切实有效地应用于他们指定的专业领域。学生应根据指定专业的学习计划注册课程，并完成具有指定主题的项目报告。,,数据科学编程简介 (Introduction to Data Science Programming) 数据科学和数据可视化 (Data Science and Data Visualization) 数据库和数据挖掘技术 (Database and Data Mining Technologies) 机器学习工具 (Tools for Machine Learning) 生物医学科学 (Biomedical Sciences) 数字生物医学 (Digital Bio-medicine) 医疗保健分析 (Healthcare Analytics) 医学人工智能 (Artificial Intelligence in Medicine) 项目报告 (Project Report),,澳门
澳门大学,教育学哲学硕士（教育科技）,MPhil Education (Educational Technology),"社科,教育,教育学院",专业方向: 教育 入学时间: 8月 项目时长: 2年 项目学费: 87000澳门币/年,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C级或更高的总成绩其他入学要求包括：具有来自排名有竞争力的大学的学士学位；具有竞争力的本科GPA；精通英语；在高级研究和学术成就方面有很强的潜力,澳门大学教育学哲学硕士（教育科技）课程旨在培养教育科技领域的先进知识和研究技能。通过严格的课程，包括核心研究相关课程和专业学习计划，使毕业生具备应对复杂教育挑战所需的分析和批判性思维能力。,,"教育的当前问题 (Current Issues in Education) 教育研究中的定性方法、数据管理与分析 (Qualitative Methods, Data Management, and Analysis in Educational Research) 教育研究中的定量方法、数据管理与分析 (Quantitative Methods, Data Management, and Analysis in Educational Research) 论文 (Thesis) 数字化学习环境的设计 (Design of Digital Learning Environments) 移动学习应用程序设计与开发 (Mobile Learning Applications Design and Development) 教育环境中的数字游戏和学习 (Digital Games and Learning in Educational Settings) 新兴的学习和评估技术 (Emerging Technologies for Learning and Assessment)",,澳门
澳门大学,教育学哲学硕士（幼儿教育）,MPhil Education (Early Childhood Education),"社科,教育,教育学院",专业方向: 教育 入学时间: 8月 项目时长: 2年 项目学费: 87000澳门币/年,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C级或更高的总成绩 其他入学要求包括：具有来自排名有竞争力的大学的学士学位；具有竞争力的本科GPA；精通英语；在高级研究和学术成就方面有很强的潜力,根据幼儿教育领域的国际趋势，该计划的主要目标是提高对幼儿教育感兴趣的人，特别是澳门特别行政区的幼儿从业者的专业知识和研究能力。它还旨在促进家庭教育，促进家庭与学校之间的伙伴关系，丰富那些为儿童提供服务的人，因为他们对幼儿的发展和学习有所了解。,,儿童发展理论与研究 (Theories and Studies of Child Development) 婴幼儿认知与学习 (Cognition and Learning in the Early Years) 幼儿游戏研究 (Child Play Studies) 教育研究法 (Research Methods in Education) 学前教育质量评价 (Early Childhood Program Quality Evaluation) 质性教育研究 (Qualitative Research in Education) 量化教育研究 (Quantitative Research in Education) 行动研究 (Action Research) 论文 (Thesis),,澳门
澳门城市大学,国际款待与旅游业管理硕士（中文学制）,Master of International Hospitality and Tourism Management (Chinese),"商科,旅游酒店管理,国际旅游与管理学院",专业方向: 旅游酒店管理 入学时间: 9月 项目时长: 2年 项目学费: 100000港币/年,具有学士学位 往届本科毕业生需参加2025年全国硕士研究生招生考试且初试总成绩过国家A类线。 应届本科毕业生不受考研限制。,国际款待与旅游业管理硕士学位课程以培养具有科学分析能力和专业管理技能的高级旅游管理人才为目标。,,旅游与款待业管理 (Tourism for the International Hospitality Business) 旅游与款待业营运决策 (Operations Decision Making) 旅游与款待业资源管理 (Resources Management) 旅游调研方法 (Research Methods) 旅游资讯系统管理 (Management Information Systems in Tourism Industry) 旅游与款待业战略风险管理 (Strategic Risk Management) 酒店和旅游点的环境管理 (Environmental Management for Hotels and Tourism Destinations) 旅游及酒店商业分析 (Business Analysis for Hotel and Tourism Industry) 旅游教育与培训专题 (Special Topic in Tourism education and training) 旅游教育本土化和国际化 (Localization and Internationalization of Tourism Education) 会展策略管理 (Strategic Management of MICE and Events) 会展策划和运作管理 (Planning and Operation Management of MICE and Events) 俱乐部管理 (Club Management) 现代博彩营运管理 (Operations of Modern Gaming Industry),,澳门
澳门大学,汉语语言学哲学硕士,MPhil Chinese Linguistics,"社科,语言,人文学院",专业方向: 语言 入学时间: 8月 项目时长: 2年 项目学费: 87000澳门币/年,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C级或更高的总成绩,学习中国语言及语言学，包括古代汉语、现代汉语，以及与中国语言学相关的理论等，提高学员的中国语言及语言学认识水平，更新学员对当前中国语言及语言学研究发展的认知，扩阔学员的眼界，培养学员从新方向、新视角、新理论等对中国语言及语言学进行研究，为继续研究和深造中国语言及语言学打下坚实的基础，要求学员达到具有个人独立研究，并撰写严格学术水平论文的能力。,,汉语语言学理论专题 (Special topics in Chinese Linguistic Theory) 汉语语言学研究方法 (Research methods of Chinese Linguistics) 汉语社会语言学研究 (A study of Chinese Sociolinguistics) 论文 (Thesis) 古代汉语研究 (Ancient Chinese Studies) 现代汉语研究 (Research on Modern Chinese) 汉语语言学专题 I (Chinese Linguistics I) 汉语语言学专题 II (Chinese Linguistics II) 汉语语法研究 (A study of Chinese grammar) 汉语声韵研究 (A study of Chinese Phonology) 汉语词汇研究 (A study of Chinese vocabulary),,澳门
澳门理工大学,环境智能理学硕士,MSc Environmental Intelligence,"工科,环境工程,应用科学学院",专业方向: 环境工程 入学时间: 8月 项目时长: 2年 项目学费: 85000澳门币/年,具有电脑学、环境科学或相关领域的学士学位或同等学历；或 正修读上述学历课程最后一年。 内地往届学士毕业生须提交应届内地全国研究生招生考试初试成绩，且达国家一区分数线或以上,澳门理工大学环境智能理学硕士课程结合环境科学、数据分析和机器学习的元素，在信息与通讯技术领域培养面向绿色智慧城市建设的跨学科领域创科人才，为城市的可持续发展作出贡献。课程著重可持续性和能源效率，为城市设计提供创新解决方案。利用先进监测和分析技术，课程深化学生在城市环境建模方面的知识，以及评估气候变迁、空气质量、社区活动、资源管理等因素对环境影响的技能，助力未来智慧城市的可持续发展。,,智慧城市与可持续发展 (Smart Cities and Sustainability) 数据分析 (Data Analytics) 应用机器学习 (Applied Machine Learning) 智慧城市遥感 (Smart City Remote Sensing) 环境智能特选专题 (Selected Topics in Environmental Intelligence) 项目报告 (Project Report) 环境科学原理 (Principles of Environmental Science) 物联网基础 (Internet of Things Essentials) 生态系统与全球变化 (Ecosystems and Global Change) 智慧城市建模与仿真 (Smart City Modelling and Simulation) 特选论题 I (Selected Topic I) 特选论题 II (Selected Topic I),,澳门
澳门大学,教育学哲学硕士（教育心理学）,MPhil Education (Educational Psychology),"社科,心理学,教育学院",专业方向: 心理学 入学时间: 8月 项目时长: 2年 项目学费: 87000澳门币/年,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C级或更高的总成绩 其他入学要求包括：具有来自排名有竞争力的大学的学士学位；具有竞争力的本科GPA；精通英语；在高级研究和学术成就方面有很强的潜力,教育心理学教育硕士课程专门从事学习和指导。主要目标是更好地了解影响人的能力和绩效如何变化（学习）的因素以及为促进积极变化（指导）可以采取的措施。它的主要目的是为学校教学或其他类型的教学和应用设置做准备。,,教育及心理评量 (Educational and Psychological Assessment) 学习心理学 (Psychology of Learning) 高级发展心理学 (Advanced Developmental Psychology) 教育研究法 (Research Methods in Education) 动机与学习 (Motivation and Learning) 教育心理学 (Psychology of Instruction) 学习困难与辅导 (Learning Difficulties and Guidance) 教育诊断与介入 (Educational Diagnosis and Interventions) 行为与社交问题辅导 (Behavioral and Social Problems and Guidance) 注意力障碍与过动学童之教学 (Teaching Students with Attention Deficit and Hyperactivity Disorder) 教育心理学专题 (Special Topics in Educational Psychology) 质性教育研究 (Qualitative Research in Education) 量化教育研究 (Quantitative Research in Education) 行动研究 (Action Research) 论文 (Thesis),,澳门
