ID,中文名称,英文名称,标签,所属院校,专业方向,入学时间,项目时长,项目学费,项目规模,就业比例,面试形式,培养目标,申请要求,语言要求,顾问解析,课程设置,申请时间,项目链接,项目官网,排名,学校类型,是否STEM
72994,统计学理学硕士,MS in Statistics,"理科, 数学",明尼苏达大学双城分校,数学,秋季,30学分,"2,381.5美元/学分",无,无,无,无,建议GPA3.0,无,无,无,无,https://www.compassedu.hk/majr_72994,无,,"理科, 数学, 公立常春藤, 21世纪学术联盟, 十大联盟",否
72788,获取失败,获取失败,,,,,,,,,,,,,,,,https://www.compassedu.hk/majr_72788,无,,,否
65797,计算机科学硕士,MSE in Computer Science,"工科, 计算机",普林斯顿大学,计算机,秋季,2年,53890美元/年,无,无,无,无,无,无,"<p>和伯克利的MSCS一样，普林斯顿大学计算机硕士项目Master of Science in Engineering（M.S.E）也是招生非常少的项目，整体为research导向。2年制的项目，第一年后可以选论文或者MEng毕业从而进行分流。</p><p>

录取方面：因为录取时候都是按research导向录取的，所以非常看重学生的研究背景。对陆本不太友好，除非跟普林斯顿的教授等有联系，可以在推荐之下申请，否则不建议申请。</p>",无,无,https://www.compassedu.hk/majr_65797,无,,"工科, 计算机, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
72687,数学与统计学硕士,MS in Mathematics & Statistics,"理科, 数学",乔治城大学,数学,STEM,春季/秋季,三个学期,无,无,无,无,"申请者必须持有地区认可机构的学士学位且GPA达到3.0及以上。申请者具备微积分,多变量微积分,线性代数,数学,统计学等相关学科背景",无,无,无,无,https://www.compassedu.hk/majr_72687,无,,"理科, 数学, 爱国者联盟, 全球大学校长论坛",是
72635,可持续科学理学硕士,MS in Sustainablity Science,"工科, 环境工程",哥伦比亚大学,环境工程,STEM,夏季/春季/秋季,1.5年,无,无,无,无,拥有科学、工程、数学或相关领域本科学位,无,无,无,无,https://www.compassedu.hk/majr_72635,无,,"工科, 环境工程, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
72970,金融数学理学硕士,MS in Mathematical Finance,"商科, 金工金数",迈阿密大学,金工金数,STEM,秋季,1.5年,无,无,无,无,工程类、数学类、计算机科学类、经济类学位，需要学过线性代数、微分方程、概率论和统计等，计算机语言和基础金融知识为加分项,无,无,无,无,https://www.compassedu.hk/majr_72970,无,,"商科, 金工金数, 大西洋海岸联盟",是
73724,数学理学硕士,MS in Mathematics,"理科, 数学",塔夫茨大学,数学,STEM,秋季,30学分,无,无,无,无,"申请者需要持有相对应的学士学位,GPA达到3.0及以上",无,无,无,无,https://www.compassedu.hk/majr_73724,无,,"理科, 数学, 新常春藤, 美国大学协会",是
71807,机械与航空工程工程理学硕士,M.S.E. in Mechanical and Aerospace Engineering,"工科, 机械工程",普林斯顿大学,机械工程,秋季,2年,58790美元/年,无,无,无,无,无,无,无,无,无,https://www.compassedu.hk/majr_71807,无,,"工科, 机械工程, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
73668,物理学硕士,MS in Physics,"理科, 物理",乔治城大学,物理,STEM,秋季,27/30学分,无,无,无,无,申请者需要提供Self-Reported GPA,无,无,无,无,https://www.compassedu.hk/majr_73668,无,,"理科, 物理, 爱国者联盟, 全球大学校长论坛",是
65576,国际经济与金融硕士,MA in International Economics and Finance,"商科, 金融",布兰迪斯大学,金融,STEM,秋季,2年,无,无,机面（kira）,无,"在以下的课程需要至少修3个学分或修读完整一个学期 并且成绩至少达到B：统计学入门课程（如统计学或定量方法）,一门经济学课程（经济学原理/宏观经济学/微观经济）",无,"<p>布兰迪斯大学商学院的MAIEF（国际经济与金融）项目在2017年英国《金融时报》应届金融硕士排名中，位列全美第2。</p><p>课程设置：Brandeis MAIEF是极其少见的2年制项目(4个学期)，有1学期可以交换，交换学校包括Bocconi, ESSEC, UIBE等，适合计划从事金融、商业或经济政策分析工作的学生。课程广度大，有经济分析与咨询、数据分析、金融经济学、市场营销、房地产金融5个方向，会有MBA level的课，同时也注重培养学生使用相关软件的能力（R），因此不要因为MA就觉得偏文。</p><p>就业方面：76%留美率，比MSF还要高一些。</p>",无,无,https://www.compassedu.hk/majr_65576,无,,"商科, 金融, 新常春藤",是
