school_id,cn_name,en_name,tags,introduction,apply_requirements,objectives,language_requirements,curriculum,success_cases,country
杜克大学,计算机科学理学硕士,MS in Computer Science,"工科,计算机",专业方向: 计算机 入学时间: 秋季 项目时长: 30学分 项目学费: 28950美元/学期 项目规模: 80人人 平均成绩: 3.7 平均G: V159， Q169,强有力的CS背景,,{{ per_lang.name }},,,us,杜克大学_计算机科学理学硕士.json
纽约大学,商业及经济报告硕士,MA in Business & Economic Reporting,"社科,新闻","专业方向: 新闻 入学时间: 秋季 项目时长: 44学分 项目学费: 78,848 美元",申请者必须持有地区认可机构的学士学位,,{{ per_lang.name }},,,us,纽约大学_商业及经济报告硕士.json
南加州大学,电子与计算机工程硕士硕士-模拟、混合信号和射频集成电路,"MS ECE-Analog, Mixed-Signal and Radio-frequency Integrated Circuits","工科,电气电子","专业方向: 电气电子 项目类别: STEM 入学时间: 秋季 项目时长: 28学分 项目学费: 71,204美元",,,{{ per_lang.name }},,,us,南加州大学_电子与计算机工程硕士硕士-模拟、混合信号和射频集成电路.json
弗吉尼亚理工大学,会计与信息系统硕士,Master of Accounting and Information Systems,"商科,会计","专业方向: 会计 入学时间: 春季/秋季/夏季 项目时长: 30学分 项目学费: 1,740.5美元/学分 项目规模: 30人人",GPA3.0，若GPA2.75-GPA3.0之间，可能会要求提供GMAT成绩,,{{ per_lang.name }},,,us,弗吉尼亚理工大学_会计与信息系统硕士.json
加州大学戴维斯分校,商业分析硕士,Master of Science in Business Analytics,"商科,商业分析",专业方向: 商业分析 项目类别: STEM 入学时间: 夏季/秋季 项目时长: 44学分 项目学费: 1339美元/学分 项目规模: 50人 平均成绩: 3.4 平均G: 707 男女比例: 44:56 就业比例: 98% 平均起薪: 102215美元,"完成三个主要领域的课程,即计算机,数学和统计以及概率",,{{ per_lang.name }},,,us,加州大学戴维斯分校_商业分析硕士.json
约翰霍普金斯大学,系统工程硕士,MSE in Systems Engineering,"工科,工程管理","专业方向: 工程管理 项目类别: STEM 入学时间: 秋季/春季 项目时长: 一年 项目学费: 60,480美元",要GRE,,{{ per_lang.name }},,,us,约翰霍普金斯大学_系统工程硕士.json
哥伦比亚大学,公共管理硕士–经济政策管理,MPA in Economic Policy Management,"社科,公共政策与事务",专业方向: 公共政策与事务 入学时间: 夏季 项目时长: 1年 项目学费: 65347美元 项目规模: 35人 国际学生: 95% 男女比例: 20:80 就业比例: 100%,"学习过定量相关课程,例如经济学和统计学课程,拥有至少三年工作经验",,{{ per_lang.name }},,,us,哥伦比亚大学_公共管理硕士–经济政策管理.json
佛罗里达大学,房地产理学硕士,MS in Real Estate,"商科,房地产","专业方向: 房地产 项目类别: STEM 入学时间: 夏季 项目时长: 10个月 项目学费: 42,690美元 项目规模: 50-60人 平均成绩: 3.52 平均G: 320",GPA3.2及以上，最好有工作经验（包括暑期实习）,,{{ per_lang.name }},,,us,佛罗里达大学_房地产理学硕士.json
马里兰大学帕克分校,材料科学与工程工学硕士,M.Eng.in Materials Science and Engineering,"工科,材料",专业方向: 材料 入学时间: 秋季/春季 项目时长: 30学分 项目学费: 2123.5美元/学分,,,{{ per_lang.name }},,,us,马里兰大学帕克分校_材料科学与工程工学硕士.json
威廉玛丽学院,学校心理学硕士,Master's Programs in School Psychology,"社科,心理学","专业方向: 心理学 入学时间: 秋季 项目时长: 59学分 项目学费: 35,136美元",Prefer拥有心理学或相关领域的学士学位,,{{ per_lang.name }},,,us,威廉玛丽学院_学校心理学硕士.json
