id,cn_name,en_name,ranking,tags,description,website_url,
,墨尔本大学,The University of Melbourne,,砂岩学府|澳大利亚八校联盟|环太平洋大学联盟|亚太国际贸易教育暨研究联盟,墨尔本大学位于澳大利亚维多利亚州墨尔本，建校于1853年，为澳大利亚历史第二悠久的大学。墨尔本大学是澳大利亚六所砂岩学府之一，八大名校的盟校成员，也是Universitas21、国际大学气候联盟、英联邦大学协会、环太平洋大学联盟、亚太国际贸易教育暨研究联盟的成员大学。墨尔本大学在教育、法律、计算机科学、人文艺术、会计金融等多个领域名列前茅，其毕业生在全球各地的政治、文化、学术、商业舞台上表现突出，至今其已培养出8位诺贝尔奖得主。,https://www.unimelb.edu.au/,
,悉尼大学,The University of Sydney,,砂岩学府|澳大利亚八校联盟|亚太国际贸易教育暨研究联盟|全球高校人工智能学术联盟,悉尼大学，简称"USYD"或"悉大"，成立于1850年，是南半球最古老的大学，位列砂岩学府、环太平洋大学联盟、澳大利亚八校联盟、亚太国际贸易教育暨研究联盟、英联邦大学协会、全球管理教育联盟。悉尼大学图书馆为南半球最大的图书馆，尼克尔森博物馆为南半球最大的文物博物馆。依托于极高的学术声誉和雇主评价，悉尼大学作为澳洲本土生源第一学府的记录已保持数十年。其历史上培养了一系列著名及重要的人物，包括八位澳大利亚总理、两位澳大利亚总督、七位诺贝尔奖和克拉福德奖得主。,https://www.compassedu.hk/univ_288_9,https://www.sydney.edu.au/
,新南威尔士大学,The University of New South Wales,,澳大利亚八校联盟|环太平洋大学联盟|国际大学气候联盟|国际科技大学联盟,新南威尔士大学，简称UNSW，创立于1949年，是一所公立研究型大学，是澳大利亚八校联盟的创始成员之一，也是环太平洋大学联盟（APRU）、全球科技大学联盟以及Universitas21联盟组织的成员。新南威尔士大学办学风格美国化，以商科和工科著称，与世界160余所优秀的顶尖学府有广泛的学术合作。新南威尔士大学素有"南半球的麻省理工"之称，拥有澳大利亚规模最大的工程学院，是澳大利亚高科技和高等研究的先驱领导大学，也是澳大利亚理工菁英的所在地。,https://www.compassedu.hk/univ_289_9,https://www.unsw.edu.au/
,澳大利亚国立大学,Australian National University,,澳大利亚八校联盟|国际研究型大学联盟|环太平洋大学联盟|大学天文研究协会,澳大利亚国立大学，简称"ANU"，始建于1946年，位于澳大利亚首都堪培拉，是一所公立研究型综合类大学，是全澳唯一享有国立大学资格的最高学府。ANU是环太平洋大学联盟、国际研究型大学联盟、澳大利亚八校联盟、英联邦大学协会成员。该校坐拥南半球藏书体系最大的图书馆，拥有超级计算机Gadi，以及闻名于世的赛丁泉天文台，澳大利亚四大国家科学院也均坐落于此。杰出校友包括六名诺贝尔奖得主、四十九名罗德奖学金得主、两名澳大利亚总理、十二名现任联邦部长与三十名现任大使等。,https://www.compassedu.hk/univ_286_9,https://www.anu.edu.au/
,莫纳什大学,Monash University,,澳大利亚八校联盟|环太平洋大学联盟|英联邦大学协会|国际大学气候联盟,莫纳什大学，又译蒙纳士大学，是一所由政府助资的国家公立大学，是澳大利亚八校联盟创始学校之一，也是国际大学气候联盟和环太平洋大学联盟成员。蒙纳士大学同时有多个学科位列世界顶尖行列，其中药剂学与药理学专业常年位居亚太地区第一位。该校综合研究实力名列前茅，在多个国家设有校区和科研中心，与全球高校紧密合作，其毕业生深受全球CEO雇主青睐。学校教师中有诺贝尔奖得主，澳大利亚科学院院士、澳大利亚社会科学院院士和澳大利亚技术科学与工程学院院士等。,https://www.compassedu.hk/univ_291_9,https://www.monash.edu/
,昆士兰大学,The University of Queensland,,砂岩学府|澳大利亚八校联盟|环太平洋大学联盟|新工科教育国际联盟,昆士兰大学，简称"昆大"、"UQ"，该校始建于1909年，是一所公立综合性大学，是澳大利亚最古老、规模最大的学府之一，在全澳拥有四个校区和若干研究中心。同时该校还是六所砂岩学府之一，环太平洋大学联盟、澳大利亚八校联盟、UNIVERSITAS21、国际铁路联盟及新工科教育国际联盟等组织成员。昆士兰大学的科研经费及学术水平在澳洲大学中始终位居前三名，其商学院在国际上颇负盛名，工程及健康科学等专业也极为出色。,https://www.uq.edu.au/,
,西澳大学,The University of Western Australia,,砂岩学府|澳大利亚八校联盟|全球大学高研院联盟,西澳大学（UWA）1911年创校，位于西澳首府珀斯，是澳洲的最具历史、代表性和实力的著名研究型大学之一，同时也是西澳第一所大学。该校在澳大利亚被归为6所砂岩学府之一，同时也是澳大利亚八校联盟、世界大学联盟、昂宿星大学联盟、英联邦大学协会、全球大学高研院联盟成员。大学培养出澳大利亚总理，五位最高法院法官，七位西澳大利亚州长及一位诺贝尔奖得主。西澳大学采矿工程、解剖学与生理学的专业排名均在世界前列。,https://www.uwa.edu.au/,
,阿德莱德大学,The University of Adelaide,,21世纪学术联盟|澳大利亚八校联盟|英联邦大学协会|砂岩学府,阿德莱德大学，简称"阿大"，是澳大利亚第三所最古老的大学，也是世界大学前1%。阿大创立于1874年，是砂岩学府之一，也是21世纪学术联盟、澳大利亚八校联盟、英联邦大学协会成员。阿德莱德大学拥有一流的科研设施与环境，以及全面完善的科研培养系统，在医学、生命科学、法律、教育、工程学等多项领域拥有强势地位。该校已收获多项世界瞩目的科研成果与发明，例如全球首例自然环境中经遗传控制的有机体、可视计算机芯片、车载可视电话。澳大利亚数十位诺贝尔奖得奖者中有五位来自阿德莱德大学。,https://www.adelaide.edu.au/,
,悉尼科技大学,University of Technology Sydney,,公立大学|世界大学联盟,悉尼科技大学（UTS），是澳大利亚的公立大学，创立于1843年，前身为悉尼机械学院，位于新南威尔士州之首府悉尼。悉尼科技大学下设9大学院，是一所以商、法、科技为主的综合大学。在学科排名上，UTS的多个专业位列全球前100位。,https://www.uts.edu.au/,
,皇家墨尔本理工大学,Royal Melbourne Institute of Technology,,授予英国皇家衔称|墨尔本三大校,皇家墨尔本理工大学，简称"RMIT"，是一所位于澳大利亚维多利亚州墨尔本的综合性公立大学，也是澳大利亚科技大学联盟成员，是澳大利亚国内唯一被英国皇室授予皇家衔称的大学机构。在2024年的QS学科排名中，艺术与设计学位列全球排名第18，澳大利亚第1，建筑与建造环境位列全球第18，澳大利亚第1，传播与媒体学位列全球第45，澳州第4。,https://www.rmit.edu.au/,
