school_id,cn_name,en_name,tags,introduction,apply_requirements,objectives,language_requirements,curriculum,success_cases,country
新加坡国立大学,心理学硕士（临床）,Master of Psychology (Clinical),"社科,心理学,人文社科学院",专业方向: 心理学 入学时间: 8月 项目时长: 2年 项目学费: 41925新币/年,"一、主要入学条件 所有申请者必须能够证明已准备好进行2年全日制研究生学习，并且必须满足以下最低要求： 1. 常规学术要求 1.1 持有认可大学颁发的良好荣誉学士学位（二等或以上）或同等学历（例如，4年制学士学位且平均成绩至少达到B或同等水平），需要心理学或密切相关学科背景（如咨询、应用心理学等），在3或4年内完成的荣誉学位将会被考虑 学校不接受本科学习最后一年尚未毕业的学生的申请 或1.2 持有认可大学颁发的良好硕士学位，需要心理学分支学科或密切相关学科背景（如咨询、应用心理学等），这种情况下学校可能会考虑接受较低二等荣誉学位的申请者 2. 研究经历 成功完成荣誉研究论文，能够展示核心研究技能和完成研究项目的能力。没有荣誉论文的申请者将需要提供能够证明研究经验和能力的其他必要证据（即进行过独立研究，随后担任研究助理；在同行评审期刊上发表过研究成果；在随后的研究生课程中完成了一项研究项目/论文；等等），将根据具体情况进行评估 二、强烈建议申请者具备 直接临床工作经验（过去5年中） 具备至少1年全职或同等的兼职（不一定要连续就业）相关心理学实践/应用和/或相关临床研究经验（即担任心理学家、助理或副心理学家、治疗师、课堂助理、研究助理或研究员等；或在应用心理学、精神病学、特殊需要、社会服务或志愿福利组织环境中），理想情况下由心理学家/临床心理学家监督，总体评估中会在考虑进行工作的期限和质量 申请者如有少于1年的全职（或同等的兼职）直接临床工作经验，不建议申请 三、英语语言测试 所有成功的申请者都需要参加英语语言测试，根据学生在水平测试中的表现，学生将被安排参加研究生英语课程或免修该课程，硕士生要求英语课程达到中级水平（至少达到C级） 需要提供存款证明80,000新币",新加坡国立大学的心理学硕士（临床）课程是一项为期两年的全日制课程，旨在为那些计划在临床心理学领域从事专业工作的毕业生提供基本入门级的培训。该课程采用“科学家-实践者”模式作为基本研究方法，注重培养理论知识和核心胜任能力以满足临床实践的需求。课程教学方式包括课程作业、调查研究和专业实习等。,{{ per_lang.name }},研究方法 (Graduate Research Methods) 心理评估 (Psychological Assessment) 成人精神病理学 (Adult Psychopathology) 贯穿一生的健康 (Health Across the Lifespan) 心理干预和治疗 (Psychological Intervention and Therapy) 儿童精神病理学 (Child Psychopathology) 研究计划 (Research Proposal) 临床实习1 (Clinical Placement 1) 道德与专业操守 (Ethics and Professional Issues) 高等心理学实践 (Advanced Psychological Practice) 临床实习2 (Clinical Placement 2) 临床实习3 (Clinical Placement 3) 研究课题 (Research Project),,singapore,新加坡国立大学_心理学硕士（临床）.json
新加坡国立大学,工商管理双学位（新加坡国立大学-巴黎高等商学院）,Double Degree MBA (NUS-HEC),"商科,工商管理,商学院",专业方向: 工商管理 入学时间: 1/9月 项目时长: 2年 项目学费: 72503新币/年,具有良好的本科学位，具备至少3年专业经验，需要提交GMAT/EA/GRE（强烈建议GMAT百分位排名达到60%，GRE百分位排名达到65%，EA分数不低于150，2019级学生的均分为690）如果具有管理学硕士学位：管理学位排名靠前，申请者就有资格获得考试豁免，并可以加入加速MBA（12个月） 如果具有本科学位：申请者必须在认可的大学完成本科课程，学校将要求提供官方成绩单作为证明，HEC对工作经验年限没有绝对要求，但除了本科学位，学校强烈建议具备至少2年专业经验 如果没有本科学位：在下列情况下申请者可以免除本科学位的要求： - 提供证书证明已经完成中学教育，还必须具备至少5年专业经验，其中至少3年担任管理职位 - 申请者是一名代表国家参加国家级比赛的运动员 理想的候选人具备2到10年的专业工作经验（2025届毕业生的平均工作经验为6年）,新加坡国立大学工商管理双学位课程由共同拥有200多年的卓越高等教育的巴黎高等商学院和新加坡国立大学提供，在为期24个月的双学位课程中，学生将加深对欧洲和亚洲商业惯例和规范的理解，并在两大洲建立自己的专业网络，在新加坡和巴黎交替学习，在欧洲和亚洲最著名的两所学校获得双学位。,{{ per_lang.name }},入门课程 (Introductory Course) 巴赫游戏 (Bach Game) 财务会计与报告 (Financial Accounting & Reporting) 金融市场与投资 (Financial Markets & Investments) 领导力沟通 (Leadership Communication) 管理经济学 (Managerial Economics) 通过营销管理客户价值 (Managing Customer Value Through Marketing) 问题解决与沟通 (Problem Solving & Communication) 统计学与商业分析 (Statistics & Business Analytics) 新视野顶点 I：学习与探索之旅 (New Horizons Capstone I: Learning & Discovery Expedition) 公司金融 (Corporate Finance) 道德与可持续发展 (Ethics & Sustainability) 领导力：影响与决策 (Leadership: Influence & Decision Making) 商业宏观经济学 (Macro-economics for Business) 管理会计与控制 (Management Accounting & Control) 运营管理 (Operations Management) 战略管理 (Strategic Management) CARS挑战 (The CARS Challenge) 新视野顶点 Il：解决商业挑战 (New Horizons Capstone Il: Solving Business Challenges) 在不确定性中冲浪 (New Horizons Capstone III: Surfing on Uncertainty) 户外领导力研讨会 (Outdoor Leadership Seminar),,singapore,新加坡国立大学_工商管理双学位（新加坡国立大学-巴黎高等商学院）.json
南洋理工大学,创意写作与出版文学硕士,MA Creative Writing and Publishing,"社科,文化,人文学院",专业方向: 文化 入学时间: 8月 项目时长: 1年 项目学费: 40330新币/年,具有良好的学士学位或同等学历 不需要具备先前的创意写作或出版课程工作或培训经验,作为亚洲英语文化的中心，新加坡的社会和公民影响力和吸引力是巨大的。在培养和塑造下一代新加坡作家方面，南洋理工大学在过去十年中一直占据主导地位。从新加坡最伟大的诗人郑宝贞到国际知名的年轻小说家张志玲和李蔻，几乎没有哪位受人尊敬的新加坡作家与南洋理工大学没有关系。南洋理工大学创意写作与出版文学硕士项目旨在将这种影响力扩展到出版商——这支队伍不仅将在未来几十年塑造新加坡文学的公民吸引力，而且将在亚洲各地展开，并作为新加坡在其他文学和出版界的代表。,{{ per_lang.name }},"创意写作 (Creative Writing) 当代出版学 (Contemporary Publishing) 叙述文体 (Forms of Narrative) 发声 (Voice) 地点与时间 (Place and Time) 文学创作 (Literary Production) 书写东南亚 (Writing South East Asia) 引导研究 (Directed Study) 专题 (Special Topic) 数字媒体写作与编辑 (Writing & Editing for Digital Media) 技术与电子出版（包括数字受众发展、元数据、社交媒体营销） (Technology & Electronic Publishing (Including Digital Audience Development, Metadata, Social Media Marketing)) 文学出版 (Literary Publishing) 编辑理论与实践、功能与策略 (Editorial Theory & Practice, Functions & Strategies) 图书杂志编辑 (Book & Magazine Editing) 出版业务（包括市场营销与销售） (The Business of Publishing including Marketing & Sales) 出版实习或创意写作论文 (Publishing Internship OR Creative Writing Dissertation)",,singapore,南洋理工大学_创意写作与出版文学硕士.json
新加坡管理大学,量化金融理学硕士,MSc Quantitative Finance,"商科,金工金数,商学院",专业方向: 金工金数 入学时间: 8月 项目时长: 1.5年 项目学费: 39967新币/年,- 不要求具备工作经验（任何相关经验可能会有助于申请） - 具有声誉好的院校颁发的良好本科学位（不限专业背景，有一定程度的数学严谨性） - 适合对可以用于解决定价、对冲、风险管理、算法交易、投资组合管理和其他前沿金融应用中的实际问题的定量和计算技能充满热情的申请者 - 具有良好的GMAT/GRE/SMU入学考试成绩 - 需要提供经认证的CFA/ACCA证书复印件（如有） - 需要提交2篇个人陈述，其中1篇需要对指定问题（2选1）进行回答,新加坡管理大学数量金融理学硕士课程的使命是培养高素质的专业人才，这些人才将受到全球和地区银行、量化对冲基金、资产管理公司以及新加坡监管机构的高度追捧。随着全球金融业在风险管理、产品创新和自营交易方面越来越成熟，对定量金融专业人员的需求也在增加。新加坡管理大学数量金融理学硕士课程随着这一上升趋势而蓬勃发展。,{{ per_lang.name }},资产定价 (Asset Pricing) 数值方法（一） (Numerical Methods I) 金融市场定量分析 (Quantitative Analysis of Financial Markets) 衍生金融投资工具 (Derivatives) 金融市场计量经济学 (Econometrics of Financial Markets) 数值方法（二） (Numerical Methods II) 固定收益证券 (Fixed Income Securities) 风险分析 (Risk Analysis) 研究项目管理技能 (Research Project Management Skills) 定量交易策略 (Quantitative Trading Strategies) 资产组合管理 (Portfolio Management) 银行风险管理 (Bank Risk Management) 随机计算 (Stochastic Calculus) 信用风险模型 (Credit Risk Models) 市场微观结构 (Market Microstructure),,singapore,新加坡管理大学_量化金融理学硕士.json
南洋理工大学,亚洲研究理学硕士,MSc Asian Studies,"社科,国际关系,国际研究学院",专业方向: 国际关系 入学时间: 8月 项目时长: 1年 项目学费: 33740新币/年,具有荣誉学士学位或同等学历,南洋理工大学亚洲研究理学硕士学位课程重点研究比较政治学、国际关系学和经济学。该课程旨在使学生掌握成为亚洲事务研究领域的领导人才所需的专业领域经验知识和分析视角。通过历史、比较政治学、国际关系学、经济学等领域的专业学习，加深学生对亚洲动态变化及新兴发展趋势的认识。还将培养学生掌握各种分析工具，成为亚洲政治、经济、安全等领域的新兴专业人才。,{{ per_lang.name }},"亚洲比较政治学 (Comparative Politics of Asia) 亚洲国际史 (The International History of Asia) 东南亚政府和政治 (Government and Politics of Southeast Asia) 印度-太平洋地区海事安全与领土争端 (Maritime Security and Territorial Disputes in the Indo-Pacific) 当代印尼国家政治 (State and Politics in Modern Indonesia) 马来西亚国家社会与政治 (State Society and Politics in Malaysia) 亚洲非传统安全议题 (Non-Traditional Security Issues in Asia) 东南亚国家伊斯兰教与社会 (Islam, State and Society in Southeast Asia) 亚洲地区政府与企业关系 (Government-Business Relations in Asia) 中国外交安全策略 (China’s Foreign and Security Policy) 印度外交安全策略 (India’s Foreign and Security Policy) 民族主义与多元文化论 (Nationalism and Multiculturalism) 宗教、暴力及建设和平 (Religion, Violence and Peacebuilding) 东北亚国际关系  (International Relations of Northeast Asia) 南亚地区国际关系 (International Relations of South Asia)",,singapore,南洋理工大学_亚洲研究理学硕士.json
南洋理工大学,对外汉语教学文学硕士,MA Teaching Chinese as an International Language,"社科,教育,教育学院",专业方向: 教育 入学时间: 1月 项目时长: 1年 项目学费: 48832新币/年,申请者需要具有中文授课本科颁发的受认可的学士学位，或具备专门从事汉语教学的研究生教师教育资格,南洋理工大学对外汉语教学文学硕士由新加坡南洋理工大学国立教育学院亚洲语言文化学部推出。该硕士课程顺应中国经济的腾飞，全球汉语热急剧升温，继而带动了国际汉语教师的强大需求，专为对国际汉语教学理论和实践具有浓厚兴趣，汉语为第一语，英语为第二语的学习者精心打造。外汉语教学硕士旨在培养中英双语的教育工作者，以便在汉语不是主要语言的国家教授汉语。该硕士课程主要针对希望专门从事对外汉语/第二语言/国际语言教学理论和实践的教育工作者（CIL学习者）。,{{ per_lang.name }},汉语语码教学与应用 (Language Code: Theory and Practice ) 汉语词汇与语法教学 (Vocabulary & Grammar: Theory and Practice) 汉英对比及其在教学中的应用 (Chinese-English Contrastive Analysis & Its Application ) 汉语口语技能教学 (Teaching of Listening & Speaking Skills in TCIL) 汉语书面语技能教学 (Teaching of Reading & Writing Skills in TCIL) 信息科技在国际汉语教学中的应用 (Application of Information Technology in TCIL) 汉语测试与评估  (Language Testing & Assessment in TCIL ) 汉语教材分析与编制 (Analysis & Development of Instructional Materials for TCIL) 汉语国际传播与当代中国 (Global Chinese and Contemporary China) 批评探索 (Critical Inquiry in TCIL) 国际汉语教师专业英语  (Professional English for TCIL Instructors ),,singapore,南洋理工大学_对外汉语教学文学硕士.json
南洋理工大学,应用老年学理学硕士,MSc Applied Gerontology,"社科,社会学与社工,社会科学学院",专业方向: 社会学与社工 入学时间: 8月 项目时长: 1年 项目学费: 43700新币/年,具有良好的学士学位，并且热衷于与老年人一起工作或解决与老龄化相关的问题,南洋理工大学的应用老年学理学硕士学位课程为快速发展的老年学领域提供全面且先进的教育，适合准备在老龄化相关领域工作或成为老龄化服务环境领域的专业人士的学生。该课程提供跨学科的亚洲重点课程，虽然其核心课程侧重于许多学科共有的老年学基础，但集中课程和选修课将帮助学生提升学习经验，补充个人专业兴趣。该课程不仅开设从社会科学的角度解决人口老龄化挑战的课程，还将开设工程学、设计和医学课程。学生将有机会与公司和学校的老龄化研究中心合作开展白银人口项目。,{{ per_lang.name }},"跨学科视角下的亚洲老龄化 (Ageing Asia: Interdisciplinary Perspectives) 亚洲老龄化政策与实践 (Ageing Policy and Practice in Asian Contexts) 衰老生理与生物学 (Physiology and Biology of Ageing) 老年学应用研究 (Applied Research in Gerontology) 人口统计变化、老龄化与全球化 (Demographic Change, Ageing and Globalization) 老年护理领导与管理 (Leadership and Management in Elderly Care) 系统视角下的持续护理 (Continuum of Care: A Systems Perspective) 护理管理实习 (Practicum in Care Management) 老年人心理 (Psychology of Older Adults) 针对老年人群的技术创新与设计 (Technological Innovation and Design for Older Population Segments) 健康生活与积极衰老的商业 (Business of Healthy Living and Active Ageing) 食物、营养与衰老 (Food, Nutrition, and Ageing) 晚年心理健康 (Mental Health in Later Life) 老年学实习 (Gerontology Practicum)",,singapore,南洋理工大学_应用老年学理学硕士.json
新加坡国立大学,国际事务硕士,Master in International Affairs,"社科,公共政策与事务,李光耀公共政策学院",专业方向: 公共政策与事务 入学时间: 8月 项目时长: 2年 项目学费: 49576新币/年,申请者应该热衷于了解亚洲和世界各地正在发生的变革，并且积极主动、外向且乐于接受新想法 申请者应持有良好的学士学位（荣誉 - 二等及以上）或同等学历 优先考虑具备至少2年工作经验的申请者，英语书面和口语熟练程度至关重要 需要提交1篇writing sample，最好是国际事务相关主题（不超过2000字） 可选择性提供GRE/GMAT,为期两年的全日制国际事务硕士项目为学生提供了理论框架和国际关系多学科领域的知识，以及沉浸式体验，旨在提高亚洲的治理水平，提升亚洲在国际事务中的影响力。,{{ per_lang.name }},"国际关系:理论与实践 (International Relations: Theory and Practice) 国际安全：概念，议题与政治 (International Security - Concepts, Issues and Policies ) 国际政治经济 (International Political Economy) 国际事务研究方法 (Research Methods in International Affairs) 国际经济发展 (International Economic Development) 变化中的全球治理 (Global Governance in a Changing World )",,singapore,新加坡国立大学_国际事务硕士.json
新加坡管理大学,商业信息技术硕士,Master of IT in Business,"商科,信息系统,信息系统学院",专业方向: 信息系统 入学时间: 1/8月 项目时长: 1年 项目学费: 54500新币/年,- 鼓励任意学位的申请者申请 - 偏好具备2年商业或技术角色工作经验的申请者 - 具有良好的GMAT/GRE/SMU入学考试（总分56）成绩,现在正处在一个颠覆性的时代，在这个时代，技术在某些领域创造了公平的竞争环境，在另一些领域创造了不公平的优势。这就对企业领导者提出了越来越高的要求，要求他们掌握相关的专业知识。新加坡管理大学商业信息技术硕士课程借鉴了数据分析、技术平台和商业战略领域的思想领导力，并深入研究了四个专业方向：金融技术与分析、分析、人工智能和数字转型。每一个专业方向都会教授学生所需的独特资源。,{{ per_lang.name }},商业分析框架与商务环境 (Analytics Framework & Business Context) 数据分析实验室 (Data Analytics Lab) 客户分析与应用 (Customer Analytics & Applications) 运营分析与应用 (Operations Analytics & Applications) 云计算和大数据分析 (Cloud and Big Data Analytics) 视觉分析与应用 (Visual Analytics & Applications) 文本分析与应用 (Text Analytics & Applications) 社会分析与应用 (Social Analytics & Applications) 商业分析实践 (Business Analytics Practicum) 创新管理 (Innovation Management) 技术与经营决策电子表格建模 (Spreadsheet Modeling for Technology & Operation Decisions) 信息技术项目和供应商管理 (IT Project & Vendor Management) 全球采购技术与流程 (Global Sourcing of Technology & Processes) 财务会计之于服务行业分析 (Financial Accounting for Service Sector Analytics) 管理会计之于技术与运作管理者 (Management Accounting for Technology & Operations Managers),,singapore,新加坡管理大学_商业信息技术硕士.json
新加坡国立大学,安全、健康与环境技术理学硕士,"MSc Safety, Health and Environmental Technology","工科,环境工程,工程学院",专业方向: 环境工程 入学时间: 1/8月 项目时长: 1年 项目学费: 49050新币/年,具有学士学位，需要工程、技术或自然科学背景,为了提高和提升安全、健康和环境管理的知识体系，新加坡国立大学安全、健康与环境技术理学硕士旨在培训和发展未来的健康和环境管理领导者、高级从业者和专业人员。该课程由行业从业人员、专业工程师、专家科学家和监管机构代表授课，为学生提供安全、健康与环境管理的广泛学科知识，并介绍工作场所安全、健康与环境问题的哲学、方法和良好做法。学生还将了解法例遵从性要求的基本原理，并获得管理、咨询和顾问级别的高级知识和技能。,{{ per_lang.name }},"工业安全基础 (Fundamentals in Industrial Safety) 环境保护基础 (Fundamentals in Environmental Protection) 风险分析与安全分析 (Risk Analysis and Safety Analytics) 化学危险品管理 (Chemical Hazard Management) 工业安全工程 (Industrial Safety Engineering) 安全、健康、环境与质量管理体系 (Safety, Health, Environment & Quality Management System) 安全领导与管理实践 (Safety Leadership and Management Practices) 独立研究 (Independent Study) 安全、健康与环境项目 (Safety, Health and Environmental Project) 防护与防爆安全 (Fire and Explosion Safety) 研究方法学 (Research Methodology) 可持续能源与环境 (Sustainable Energy and Environment) 电气安全 (Electrical Safety) 可持续发展与环境分析 (Sustainability & Environmental Analysis) 工业安全、健康与环境实践 (Industrial Safety, Health and Environmental Practices) 环境保护专题 (Topics in Environmental Protection) 工业卫生基础 (Fundamentals in Industrial Hygiene) 工业毒理学 (Industrial Toxicology) 职业工效学 (Occupational Ergonomics) 生物安全与生物安全保障 (Biosafety and Biosecurity) 职业健康 (Occupational Health) 噪音与其他物理危害 (Noise and Other Physical Hazards) 辐射安全 (Radiation Safety) 工业通风 (Industrial Ventilation) 生物统计学与流行病学 (Biostatistics and Epidemiology) 化学品危害评价 (Chemical Hazard Evaluation) 工业卫生专题 (Topics in Industrial Hygiene) 工艺安全基础 (Fundamentals in Process Safety) 工艺危害分析 (Process Hazard Analysis) 量化风险分析 (Quantified Risk Analysis) 恢复与应急预案 (Resilience and Emergency Planning) 危机与事件管理 (Crisis and Incident Management) 过程安全中的人为因素 (Human Factors in Process Safety) 工艺安全工程 (Process Safety Engineering) 过程工业的功能安全 (Functional Safety for Process Industries) 过程安全数字化 (Process Safety Digitalization) 过程安全专题 (Topics in Process Safety)",,singapore,新加坡国立大学_安全、健康与环境技术理学硕士.json
