program_id,student_name,created_at,updated_at,school,applied_program,bachelor_university,bachelor_major,experience,admission_year,gpa,language_scores
,W同学,2024/2/17 12:16,2024/2/17 12:16,东北大学（美国）,分析学硕士,苏州大学文正学院,物联网,1. 中国电信实习2. 江苏广电实习,大四,3,多邻国130
,W同学,2024/2/17 12:14,2024/2/17 12:14,乔治华盛顿大学,计算机科学理学硕士,苏州大学文正学院,物联网,1. 中国电信实习2. 江苏广电实习,大四,3,多邻国130
,L同学,2024/2/17 12:13,2024/2/17 12:13,乔治城大学,生物信息学硕士,华东理工大学,生物工程（含生物医药新工科、中德联合生物工程）,1. APMCM参赛2. XX生物技术企业实习3. XX生物酶的结构研究,大四,2.96,托福94
,Y同学,2024/2/17 12:15,2024/2/17 12:15,伊利诺伊大学香槟分校,金融工程硕士,,金融,1. 昆明某投资公司VP助理2. 兴业证券助理实习3. 兴业证券量化实习4. 中金日常实习5. 哥伦比亚大学寒假交流,已毕业,90.55,托福101，GRE326
,L同学,2024/2/17 12:13,2024/2/17 12:13,伦敦大学国王学院,健康心理学理学硕士,圣安德鲁斯,心理学,1. 研究项目：《某地区老年群体轻度认知障碍的研究》2. 某公司hr实习3. 探究线性加权平均模型是否能解释单眼立体视觉 ?4. 个体的主观幸福感与面部表情的识别能力的关联,大四,15.2,英本
,W同学,2024/2/17 12:11,2024/2/17 12:11,伦敦大学国王学院,国际政治经济学文学硕士,北京化工大学,国际经济与贸易,1. 浙商证券宏观研究组实习生2. 低碳经济与管理研究中心研究成员,大四,86.79,雅思6.5
,P同学,2024/2/17 12:11,2024/2/17 12:11,伦敦大学国王学院,国际政治经济学文学硕士,华东理工大学,经济,1. 保诚保险有限公司 实习生2. 中信证券 市场拓展部实习生3. 咨询实训项目,大四,83.44,雅思6.5
,G同学,2024/2/17 12:15,2024/2/17 12:15,伦敦大学国王学院,国际营销理学硕士,上海外国语大学,德语,1. 高校短视频平台的运营策略及其对校园官媒传播效果研究——以“上外德语系”视频号为例2. 比较文学课程论文3. 某教育平台新媒体运营4. 某教育机构助教,大四,88.23,雅思8(L:9/R:8.5/W:7.5/S:7)
,Y同学,2024/2/17 12:16,2024/2/17 12:16,伦敦大学国王学院,新兴经济体与国际发展理学硕士,贵州财经大学,会计学（中外合作办学）,1. 上海xx有限公司审计实习生2. 上海xx有限公司审计实习生,大四,89.2,雅思7
,C同学,2024/2/17 12:14,2024/2/17 12:14,伦敦大学国王学院,金融学（资产定价）理学硕士,华东理工大学,计算机科学与技术,1. 华创证券实习-机械组2. 中泰证券-研究实习生3. 课设：创建DBMS系统+银行财务状况的纵向分析+器材信息管理系统,大四,86.5,雅思7
,L同学,2024/2/17 12:15,2024/2/17 12:15,伦敦大学国王学院,银行与金融理学硕士,东北大学,金融学（金融科技),1. 某证券公司实习生2. 某投资管理有限公司实习生3. 安盛保险实习生,大四,3.83,无
,Y同学,2024/2/17 12:15,2024/2/17 12:15,伦敦大学国王学院,银行与金融理学硕士,,金融工程,1. 申港证券实习生2. 二手车交易价格预测3. 期货衍生品教材案例补充4. 地方官员竞争及晋升压力与城投举债,大四,3.6,雅思7，GRE327
,Q同学,2024/2/17 12:11,2024/2/17 12:11,伦敦大学学院,建筑环境：可持续遗产（遗产管理）理学硕士,北京林业大学,风景园林,1. 校级实践团:景观传记—北京滨水空间的探寻与记录实践团2. RAC STUDIO & ZHUGE COMING “云南洱源（右所）Building Practice”3. 2023年成都公园城市国际花园季暨第六届北林国际花园建造周设计竞赛4. 大学生创新训练：《永定河引水渠河流环境、活力、居民情绪感知三者相关性研究及更新策略》,大四,88.82,托福95(L:23/R:27/W:22/S:23)
,Y同学,2024/2/17 12:15,2024/2/17 12:15,伦敦大学学院,教育学（科学）文学硕士,江南大学,教育技术学(师范）,1. 某科学院计算机网络信息中心生产与创新助理2. 某师范大学智能学习研究所研究助理3. 国家大学生创新创业训练计划4. 中国创意挑战赛5. iTeach全国大学生数字教育应用创新大赛6. 基于RPG模式的历史教育游戏资源设计研究7. 教育信息化视域2.0下语文教学困境破解与策略研究8. 不同可视化实时互动界面XX反馈的影响研究,已毕业,89,暂无
,W同学,2024/2/17 12:15,2024/2/17 12:15,伦敦大学学院,教育学（读写）文学硕士,首都师范大学,小学教育,1. 小学英语跨学科教学设计研究2. 某小学英语实习老师3. 学而思产品教研员4. 乡村老人生存状况项目调研,大四,88.2,雅思6.5
,L同学,2024/2/17 12:14,2024/2/17 12:14,伦敦大学学院,机器人与人工智能理学硕士,西北工业大学,自动化,1. 上海肿瘤研究所实习生2. 德国亚琛工业大学交换3. 小型探空火箭项目4. 基于YOLOv3的安全帽识别算法5. 基于K近邻的数字字母识别系统6. 智能道路喷涂机器人7. 论文《A Review of the Application of Wireless Positioning Technology in Micro Robots in Vivo》,大四,88.2,雅思7.5，GRE317
,L同学,2024/2/17 12:12,2024/2/17 12:12,伦敦大学学院,物联网系统工程理学硕士,,微电子,1. 博世实习2. 某电子公司实习3. 美赛M奖,大四,4.28,雅思7
,C同学,2024/2/17 12:12,2024/2/17 12:12,伦敦大学学院,物联网系统工程理学硕士,武汉科技大学,电子信息工程,1. 京东项目实习生2. 口罩识别检测 个人项目3. 智能唤醒系统,大四,91.12,雅思7
,W同学,2024/2/17 12:15,2024/2/17 12:15,伦敦大学学院,电信学理学硕士,香港科技大学,电子工程,1. 电子电气工程专题：新能源电动汽车技术研究2. 华为政企大客户服务部实习3. 信号与系统小组作业4. 电子电路个人项目,大四,2.98,雅思7.0
,L同学,2024/2/17 12:11,2024/2/17 12:11,伦敦大学学院,金融学理学硕士,上海外国语大学,金融,1. 大创：基金购买成因分析2. 中信建投行研实习生,大四,3.96,雅思7.5，GMAT710
,X同学,2024/2/17 12:12,2024/2/17 12:12,伦敦大学玛丽皇后学院,会计与金融理学硕士,广东财经大学,税收学,1. 银行财务部门实习生2. 安永商务比赛3. 正大杯市场调研比赛,大四,3.27,暂无
